exchange,session_date,is_open
NSE,2026-05-07,true
NSE,2026-05-08,true
NSE,2026-05-11,true
NSE,2026-05-12,true
NSE,2026-05-13,true
NSE,2026-05-14,true
NSE,2026-05-15,true
NSE,2026-05-18,true
NSE,2026-05-19,true
NSE,2026-05-20,true
NSE,2026-05-21,true
NSE,2026-05-22,true
NSE,2026-05-25,true
NSE,2026-05-26,true
NSE,2026-05-27,true
NSE,2026-05-28,true
NSE,2026-05-29,true
NSE,2026-06-01,true
NSE,2026-06-02,true
NSE,2026-06-03,true
NSE,2026-06-04,true
NSE,2026-06-05,true
NSE,2026-06-08,true
NSE,2026-06-09,true
NSE,2026-06-10,true
NSE,2026-06-11,true
NSE,2026-06-12,true
NSE,2026-06-15,true
NSE,2026-06-16,true
NSE,2026-06-17,true
NSE,2026-06-18,true
NSE,2026-06-19,true
NSE,2026-06-22,true
NSE,2026-06-23,true
NSE,2026-06-24,true
NSE,2026-06-25,true
NSE,2026-06-26,true
NSE,2026-06-29,true
NSE,2026-06-30,true
NSE,2026-07-01,true
NSE,2026-07-02,true
NSE,2026-07-03,true
NSE,2026-07-06,true
NSE,2026-07-07,true
NSE,2026-07-08,true
NSE,2026-07-09,true
NSE,2026-07-10,true
NSE,2026-07-13,true
NSE,2026-07-14,true
NSE,2026-07-15,true
NSE,2026-07-16,true
NSE,2026-07-17,true
NSE,2026-07-20,true
NSE,2026-07-21,true
NSE,2026-07-22,true
NSE,2026-07-23,true
NSE,2026-07-24,true
NSE,2026-07-27,true
NSE,2026-07-28,true
NSE,2026-07-29,true
NSE,2026-07-30,true
NSE,2026-07-31,true
NSE,2026-08-03,true
NSE,2026-08-04,true
NSE,2026-08-05,true
NSE,2026-08-06,true
NSE,2026-08-07,true
NSE,2026-08-10,true
NSE,2026-08-11,true
NSE,2026-08-12,true
NSE,2026-08-13,true
NSE,2026-08-14,true
NSE,2026-08-17,true
NSE,2026-08-18,true
NSE,2026-08-19,true
NSE,2026-08-20,true
NSE,2026-08-21,true
NSE,2026-08-24,true
NSE,2026-08-25,true
NSE,2026-08-26,true
NSE,2026-08-27,true
NSE,2026-08-28,true
NSE,2026-08-31,true
NSE,2026-09-01,true
NSE,2026-09-02,true
NSE,2026-09-03,true
NSE,2026-09-04,true
NSE,2026-09-07,true
NSE,2026-09-08,true
NSE,2026-09-09,true
NSE,2026-09-10,true
NSE,2026-09-11,true
NSE,2026-09-14,true
NSE,2026-09-15,true
NSE,2026-09-16,true
NSE,2026-09-17,true
NSE,2026-09-18,true
NSE,2026-09-21,true
NSE,2026-09-22,true
NSE,2026-09-23,true
NSE,2026-09-24,true
NSE,2026-09-25,true
NSE,2026-09-28,true
NSE,2026-09-29,true
NSE,2026-09-30,true
NSE,2026-10-01,true
NSE,2026-10-05,true
NSE,2026-10-06,true
NSE,2026-10-07,true
NSE,2026-10-08,true
NSE,2026-10-09,true
NSE,2026-10-12,true
NSE,2026-10-13,true
NSE,2026-10-14,true
NSE,2026-10-15,true
NSE,2026-10-16,true
NSE,2026-10-19,true
NSE,2026-10-20,true
NSE,2026-10-21,true
NSE,2026-10-22,true
NSE,2026-10-23,true
NSE,2026-10-26,true
NSE,2026-10-27,true
NSE,2026-10-28,true
NSE,2026-10-29,true
NSE,2026-10-30,true
NSE,2026-11-02,true
NSE,2026-11-03,true
NSE,2026-11-04,true
NSE,2026-11-05,true
NSE,2026-11-06,true
NSE,2026-11-09,true
NSE,2026-11-10,true
NSE,2026-11-11,true
NSE,2026-11-12,true
NSE,2026-11-13,true
NSE,2026-11-16,true
NSE,2026-11-17,true
NSE,2026-11-18,true
NSE,2026-11-19,true
NSE,2026-11-20,true
NSE,2026-11-23,true
NSE,2026-11-24,true
NSE,2026-11-25,true
NSE,2026-11-26,true
NSE,2026-11-27,true
NSE,2026-11-30,true
NSE,2026-12-01,true
NSE,2026-12-02,true
NSE,2026-12-03,true
NSE,2026-12-04,true
NSE,2026-12-07,true
NSE,2026-12-08,true
NSE,2026-12-09,true
NSE,2026-12-10,true
NSE,2026-12-11,true
NSE,2026-12-14,true
NSE,2026-12-15,true
NSE,2026-12-16,true
NSE,2026-12-17,true
NSE,2026-12-18,true
NSE,2026-12-21,true
NSE,2026-12-22,true
NSE,2026-12-23,true
NSE,2026-12-24,true
NSE,2026-12-28,true
NSE,2026-12-29,true
NSE,2026-12-30,true
NSE,2026-12-31,true
NSE,2027-01-01,true
NSE,2027-01-04,true
NSE,2027-01-05,true
NSE,2027-01-06,true
NSE,2027-01-07,true
NSE,2027-01-08,true
NSE,2027-01-11,true
NSE,2027-01-12,true
NSE,2027-01-13,true
NSE,2027-01-14,true
NSE,2027-01-15,true
NSE,2027-01-18,true
NSE,2027-01-19,true
NSE,2027-01-20,true
NSE,2027-01-21,true
NSE,2027-01-22,true
NSE,2027-01-25,true
NSE,2027-01-27,true
NSE,2027-01-28,true
NSE,2027-01-29,true
NSE,2027-02-01,true
NSE,2027-02-02,true
NSE,2027-02-03,true
NSE,2027-02-04,true
NSE,2027-02-05,true
NSE,2027-02-08,true
NSE,2027-02-09,true
NSE,2027-02-10,true
NSE,2027-02-11,true
NSE,2027-02-12,true
NSE,2027-02-15,true
NSE,2027-02-16,true
NSE,2027-02-17,true
NSE,2027-02-18,true
NSE,2027-02-19,true
NSE,2027-02-22,true
NSE,2027-02-23,true
NSE,2027-02-24,true
NSE,2027-02-25,true
NSE,2027-02-26,true
NSE,2027-03-01,true
NSE,2027-03-02,true
NSE,2027-03-03,true
NSE,2027-03-04,true
NSE,2027-03-05,true
NSE,2027-03-08,true
NSE,2027-03-09,true
NSE,2027-03-10,true
NSE,2027-03-11,true
NSE,2027-03-12,true
NSE,2027-03-15,true
NSE,2027-03-16,true
NSE,2027-03-17,true
NSE,2027-03-18,true
NSE,2027-03-19,true
NSE,2027-03-22,true
NSE,2027-03-23,true
NSE,2027-03-24,true
NSE,2027-03-25,true
NSE,2027-03-26,true
NSE,2027-03-29,true
NSE,2027-03-30,true
NSE,2027-03-31,true
